ISO3,Countries and areas,Region,Development Regions,Total,Female,Male,Rural_Residence,Urban_Residence,Poorest_Wealth quintile,Second_Wealth quintile,Middle_Wealth quintile,Fourth_Wealth quintile,Richest_Wealth quintile
AFG,Afghanistan,SA,Least Developed,40,56,25,46,23,50,48,49,33,21
ALB,Albania,ECA,More Developed,2,2,2,2,2,4,2,2,1,1
DZA,Algeria,MENA,Less Developed,6,6,5,8,4,12,6,5,3,2
AGO,Angola,SSA,Least Developed,15,17,14,28,10,31,26,16,6,4
ARM,Armenia,ECA,Less Developed,1,1,1,0,1,1,1,2,0,0
BGD,Bangladesh,SA,Least Developed,13,8,18,13,12,19,15,11,11,7
BRB,Barbados,LAC,Less Developed,1,1,1,1,1,0,1,2,2,0
BLR,Belarus,ECA,More Developed,0,0,0,0,0,0,1,0,0,0
BLZ,Belize,LAC,Less Developed,9,9,10,12,4,15,13,9,4,2
BEN,Benin,SSA,Least Developed,41,47,36,48,31,65,52,42,31,18
BTN,Bhutan,SA,Least Developed,19,18,20,23,10,35,25,18,10,11
BIH,Bosnia and Herzegovina,ECA,More Developed,1,1,1,1,1,4,0,1,0,0
BRA,Brazil,LAC,Less Developed,1,1,1,1,1,1,1,1,0,0
BFA,Burkina Faso,SSA,Least Developed,57,59,56,65,31,77,67,62,49,32
BDI,Burundi,SSA,Least Developed,29,28,31,31,20,49,35,26,20,22
KHM,Cambodia,EAP,Least Developed,25,25,26,26,20,40,29,24,17,15
CMR,Cameroon,SSA,Less Developed,19,22,16,28,10,40,27,16,10,5
CAF,Central African Republic,SSA,Least Developed,32,43,20,41,21,52,44,38,25,15
TCD,Chad,SSA,Least Developed,42,49,36,49,21,50,48,49,49,17
COL,Colombia,LAC,Less Developed,4,3,4,6,3,8,3,3,1,1
COM,Comoros,SSA,Least Developed,14,14,15,16,11,27,16,13,9,8
COG,Congo,SSA,Less Developed,7,8,6,10,5,14,10,8,2,2
CRI,Costa Rica,LAC,Less Developed,3,3,2,3,2,4,2,3,3,0
CIV,Côte d'Ivoire,SSA,Less Developed,33,38,27,40,26,50,37,33,25,22
COD,Democratic Republic of the Congo,SSA,Least Developed,17,18,16,21,12,28,17,17,16,8
DOM,Dominican Republic,LAC,Less Developed,3,3,4,2,4,7,4,2,2,1
EGY,Egypt,MENA,Less Developed,10,10,10,11,8,15,13,9,9,2
SLV,El Salvador,LAC,Less Developed,15,15,14,20,11,28,17,10,7,6
SWZ,Eswatini,SSA,Less Developed,4,4,5,4,5,6,3,3,7,4
ETH,Ethiopia,SSA,Least Developed,31,31,30,33,22,48,40,28,24,20
GAB,Gabon,SSA,Less Developed,3,3,4,5,3,7,4,4,2,1
GMB,Gambia,SSA,Least Developed,33,35,30,45,23,43,42,44,24,12
GEO,Georgia,ECA,Less Developed,1,1,2,1,1,2,0,1,2,0
GHA,Ghana,SSA,Less Developed,7,6,8,8,6,15,6,6,4,3
GTM,Guatemala,LAC,Less Developed,29,34,24,36,18,46,41,30,14,5
GIN,Guinea,SSA,Least Developed,46,54,38,62,26,72,59,57,39,20
GNB,Guinea-Bissau,SSA,Least Developed,23,26,20,27,18,28,26,27,20,16
GUY,Guyana,LAC,Less Developed,7,6,8,8,4,12,6,7,4,4
HTI,Haiti,LAC,Least Developed,6,5,7,8,3,14,7,3,3,3
HND,Honduras,LAC,Less Developed,26,22,30,35,15,37,29,23,13,16
IND,India,SA,Less Developed,7,8,7,8,6,15,7,5,3,1
IDN,Indonesia,EAP,Less Developed,7,6,8,9,5,11,8,6,5,3
IRQ,Iraq,MENA,Less Developed,21,28,15,30,17,36,24,19,13,11
JAM,Jamaica,LAC,Less Developed,1,1,1,1,0,2,1,0,0,0
JOR,Jordan,MENA,Less Developed,5,5,6,5,5,13,6,3,2,2
KAZ,Kazakhstan,ECA,Less Developed,0,0,0,0,0,0,0,0,0,0
KEN,Kenya,SSA,Less Developed,3,3,3,4,2,10,2,1,1,1
KIR,Kiribati,EAP,Least Developed,10,5,15,11,9,16,11,11,9,3
KGZ,Kyrgyzstan,ECA,Less Developed,1,1,2,1,1,2,1,2,1,1
LAO,Lao People's Democratic Republic,EAP,Least Developed,20,22,18,22,15,32,20,18,12,13
LSO,Lesotho,SSA,Least Developed,14,9,19,18,7,23,20,13,6,5
LBR,Liberia,SSA,Least Developed,20,18,21,29,14,38,24,21,15,9
MDG,Madagascar,SSA,Least Developed,36,33,38,40,21,61,47,32,24,12
MWI,Malawi,SSA,Least Developed,8,8,8,8,5,14,9,8,6,4
MDV,Maldives,SA,Less Developed,4,4,4,6,0,6,6,4,2,0
MLI,Mali,SSA,Least Developed,59,63,55,68,32,83,77,67,51,29
MRT,Mauritania,SSA,Least Developed,41,42,40,52,28,62,51,40,31,17
MNG,Mongolia,EAP,Less Developed,4,3,5,4,4,6,3,5,3,5
MNE,Montenegro,ECA,More Developed,1,2,1,3,0,6,0,0,0,0
MOZ,Mozambique,SSA,Least Developed,33,38,28,41,19,50,49,38,27,13
MMR,Myanmar,EAP,Least Developed,17,17,16,19,10,30,18,15,9,6
NAM,Namibia,SSA,Less Developed,12,12,11,13,10,16,16,9,13,3
NPL,Nepal,SA,Least Developed,4,4,4,5,4,6,7,4,2,1
NER,Niger,SSA,Least Developed,70,73,67,79,37,90,80,80,72,41
NGA,Nigeria,SSA,Less Developed,27,29,25,39,11,68,34,17,7,5
MKD,North Macedonia,ECA,More Developed,2,2,1,0,3,4,3,0,0,0
PAK,Pakistan,SA,Less Developed,27,32,22,31,18,55,31,19,15,7
PAN,Panama,LAC,Less Developed,4,3,4,7,2,9,4,3,0,1
PRY,Paraguay,LAC,Less Developed,8,7,9,11,5,13,7,6,3,3
PER,Peru,LAC,Less Developed,7,7,7,9,6,13,7,6,4,3
PHL,Philippines,EAP,Less Developed,4,3,5,4,4,9,5,2,2,2
MDA,Republic of Moldova,ECA,More Developed,3,1,4,2,3,8,3,2,1,1
RWA,Rwanda,SSA,Least Developed,26,26,26,26,24,34,29,24,21,24
LCA,Saint Lucia,LAC,Less Developed,1,1,1,1,1,0,2,2,0,1
STP,Sao Tome and Principe,SSA,Least Developed,8,7,9,11,7,15,12,6,7,2
SEN,Senegal,SSA,Least Developed,39,36,42,50,25,57,47,39,34,17
SRB,Serbia,ECA,More Developed,1,1,1,2,0,5,0,0,0,0
SLE,Sierra Leone,SSA,Least Developed,19,18,20,29,8,39,29,17,10,7
ZAF,South Africa,SSA,Less Developed,5,4,6,5,6,9,6,3,4,2
SSD,South Sudan,SSA,Least Developed,63,67,59,69,44,85,74,67,55,34
LKA,Sri Lanka,SA,Less Developed,1,1,1,1,1,2,1,0,0,0
PSE,State of Palestine,MENA,Less Developed,5,2,8,6,5,6,5,7,4,2
SDN,Sudan,SSA,Least Developed,21,25,16,26,8,33,31,22,11,3
SUR,Suriname,LAC,Less Developed,7,6,8,11,5,14,7,4,2,3
TJK,Tajikistan,ECA,Less Developed,3,4,1,3,2,4,3,2,2,2
THA,Thailand,EAP,Less Developed,3,2,5,4,3,7,3,5,1,1
TLS,Timor-Leste,EAP,Least Developed,9,8,10,10,5,16,11,8,5,3
TGO,Togo,SSA,Least Developed,12,14,10,14,10,20,14,9,7,10
TON,Tonga,EAP,Less Developed,11,8,14,12,8,18,15,10,5,5
TTO,Trinidad and Tobago,LAC,Less Developed,2,3,2,2,2,4,2,2,2,1
TUN,Tunisia,MENA,Less Developed,7,7,7,12,5,14,9,5,4,3
TUR,Turkey,ECA,Less Developed,3,3,2,3,2,6,2,1,2,0
TKM,Turkmenistan,ECA,Less Developed,0,0,0,0,0,1,0,0,0,0
UGA,Uganda,SSA,Least Developed,23,23,22,23,24,29,22,21,19,25
UKR,Ukraine,ECA,More Developed,1,1,1,0,1,0,1,1,0,2
TZA,United Republic of Tanzania,SSA,Least Developed,57,58,56,62,46,77,67,61,44,44
URY,Uruguay,LAC,Less Developed,9,11,7,9,9,8,2,7,21,1
VNM,Viet Nam,EAP,Less Developed,6,6,6,7,3,16,5,3,2,1
