ISO3,Countries and areas,Region,Development Regions,Total,Female,Male,Rural_Residence,Urban_Residence,Poorest_Wealth quintile,Second_Wealth quintile,Middle_Wealth quintile,Fourth_Wealth quintile,Richest_Wealth quintile
AFG,Afghanistan,SA,Least Developed,37,47,28,42,19,42,47,46,32,16
ALB,Albania,ECA,More Developed,2,2,3,4,1,4,3,2,2,1
DZA,Algeria,MENA,Less Developed,2,2,2,2,2,3,2,2,2,1
AGO,Angola,SSA,Least Developed,22,22,21,35,14,39,33,19,12,5
ARG,Argentina,LAC,Less Developed,1,1,2,0,0,1,0,2,2,1
ARM,Armenia,ECA,Less Developed,5,4,5,6,3,6,7,6,3,2
BGD,Bangladesh,SA,Least Developed,6,5,8,6,6,9,7,5,6,4
BRB,Barbados,LAC,Less Developed,1,1,0,1,0,1,0,0,2,0
BLR,Belarus,ECA,More Developed,0,0,1,0,0,0,0,0,1,0
BLZ,Belize,LAC,Less Developed,2,2,2,3,1,4,4,1,1,0
BEN,Benin,SSA,Least Developed,32,35,28,38,21,59,39,30,15,7
BTN,Bhutan,SA,Least Developed,8,7,9,10,3,15,11,6,4,3
BIH,Bosnia and Herzegovina,ECA,More Developed,3,4,2,3,3,7,1,3,1,3
BRA,Brazil,LAC,Less Developed,0,0,1,1,0,1,1,0,0,0
BFA,Burkina Faso,SSA,Least Developed,48,50,46,55,17,69,58,50,40,15
BDI,Burundi,SSA,Least Developed,18,18,18,19,6,36,21,14,11,6
KHM,Cambodia,EAP,Least Developed,6,5,7,7,3,13,8,4,3,2
CMR,Cameroon,SSA,Less Developed,15,17,14,24,6,37,18,10,4,2
CAF,Central African Republic,SSA,Least Developed,26,31,21,33,13,42,36,26,17,8
TCD,Chad,SSA,Least Developed,50,53,47,55,28,55,53,57,55,24
COL,Colombia,LAC,Less Developed,2,2,2,2,2,3,2,1,1,2
COM,Comoros,SSA,Least Developed,14,15,14,17,9,28,18,10,4,4
COG,Congo,SSA,Less Developed,3,3,3,6,2,8,4,2,1,1
CRI,Costa Rica,LAC,Less Developed,1,1,1,1,1,1,2,2,1,0
CIV,Côte d'Ivoire,SSA,Less Developed,23,26,21,29,15,38,29,23,13,6
COD,Democratic Republic of the Congo,SSA,Least Developed,22,22,21,28,13,35,29,21,15,6
DOM,Dominican Republic,LAC,Less Developed,3,2,4,3,3,6,4,2,3,1
EGY,Egypt,MENA,Less Developed,3,3,3,3,3,5,4,2,2,2
SLV,El Salvador,LAC,Less Developed,4,3,4,5,3,8,4,2,2,0
SWZ,Eswatini,SSA,Less Developed,1,1,2,2,1,2,2,1,2,0
ETH,Ethiopia,SSA,Least Developed,25,25,26,27,9,41,30,22,19,9
GAB,Gabon,SSA,Less Developed,4,3,4,5,4,8,4,1,2,3
GMB,Gambia,SSA,Least Developed,27,27,28,35,18,32,34,32,23,10
GEO,Georgia,ECA,Less Developed,1,1,1,2,1,2,2,1,1,1
GHA,Ghana,SSA,Less Developed,7,6,7,8,4,16,6,4,3,1
GTM,Guatemala,LAC,Less Developed,6,6,5,6,4,9,7,5,2,2
GIN,Guinea,SSA,Least Developed,34,37,31,44,14,55,43,38,22,11
GNB,Guinea-Bissau,SSA,Least Developed,28,26,29,36,11,38,39,34,19,6
GUY,Guyana,LAC,Less Developed,1,1,1,1,1,2,0,0,0,1
HTI,Haiti,LAC,Least Developed,8,8,9,11,4,21,8,4,3,2
HND,Honduras,LAC,Less Developed,7,6,7,7,6,7,5,4,5,14
IND,India,SA,Less Developed,6,6,6,7,4,13,6,4,3,1
IDN,Indonesia,EAP,Less Developed,1,1,1,1,0,1,1,1,1,0
IRQ,Iraq,MENA,Less Developed,8,10,7,11,7,16,8,8,4,3
JAM,Jamaica,LAC,Less Developed,0,0,1,1,0,1,0,1,0,0
JOR,Jordan,MENA,Less Developed,3,2,3,2,3,4,2,2,3,2
KAZ,Kazakhstan,ECA,Less Developed,0,0,0,0,1,0,0,1,1,1
KEN,Kenya,SSA,Less Developed,5,5,5,5,3,14,2,1,2,2
KIR,Kiribati,EAP,Least Developed,3,2,4,2,4,3,2,4,4,2
KGZ,Kyrgyzstan,ECA,Less Developed,1,1,1,1,1,2,2,1,0,1
LAO,Lao People's Democratic Republic,EAP,Least Developed,8,8,8,10,3,19,7,4,2,1
LSO,Lesotho,SSA,Least Developed,3,2,4,3,3,5,2,2,3,1
LBR,Liberia,SSA,Least Developed,17,17,18,23,14,32,23,16,10,7
MDG,Madagascar,SSA,Least Developed,22,19,24,24,11,44,30,14,7,3
MWI,Malawi,SSA,Least Developed,6,5,6,6,2,10,7,5,3,2
MDV,Maldives,SA,Less Developed,1,1,1,1,1,1,1,1,1,1
MLI,Mali,SSA,Least Developed,47,50,45,55,18,74,59,50,34,16
MRT,Mauritania,SSA,Least Developed,42,40,44,51,29,58,53,39,31,17
MNG,Mongolia,EAP,Less Developed,4,3,5,3,4,3,4,4,4,3
