ISO3,Countries and areas,Region,Development Regions,Total,Female,Male,Rural_Residence,Urban_Residence,Poorest_Wealth quintile,Second_Wealth quintile,Middle_Wealth quintile,Fourth_Wealth quintile,Richest_Wealth quintile
AFG,Afghanistan,SA,Least Developed,58,73,43,63,45,70,64,64,54,40
ALB,Albania,ECA,More Developed,12,12,12,16,9,27,11,11,5,5
DZA,Algeria,MENA,Less Developed,25,23,28,33,21,40,29,24,20,12
AGO,Angola,SSA,Least Developed,29,35,21,53,19,58,50,27,17,9
ARM,Armenia,ECA,Less Developed,7,4,9,9,5,12,6,10,5,2
BGD,Bangladesh,SA,Least Developed,31,26,37,32,30,45,35,29,28,19
BRB,Barbados,LAC,Less Developed,1,1,0,1,0,0,1,0,1,1
BLR,Belarus,ECA,More Developed,1,2,1,1,1,0,3,0,0,3
BLZ,Belize,LAC,Less Developed,33,35,30,38,24,54,43,40,13,7
BEN,Benin,SSA,Least Developed,58,66,50,65,50,82,73,61,48,36
BTN,Bhutan,SA,Least Developed,39,40,39,44,27,55,53,42,27,24
BIH,Bosnia and Herzegovina,ECA,More Developed,7,6,8,7,7,15,8,8,3,3
BRA,Brazil,LAC,Less Developed,8,7,8,12,7,12,8,7,4,1
BFA,Burkina Faso,SSA,Least Developed,74,79,69,83,54,90,87,81,74,53
BDI,Burundi,SSA,Least Developed,54,54,53,55,44,76,65,54,46,39
KHM,Cambodia,EAP,Least Developed,60,62,58,65,39,79,74,65,53,35
CMR,Cameroon,SSA,Less Developed,42,49,34,55,31,61,63,43,35,17
CAF,Central African Republic,SSA,Least Developed,63,77,43,76,45,84,75,72,54,38
TCD,Chad,SSA,Least Developed,55,69,43,65,30,70,66,64,61,28
COL,Colombia,LAC,Less Developed,16,16,17,26,13,29,21,14,10,5
COM,Comoros,SSA,Least Developed,27,29,25,30,21,45,36,24,20,17
COG,Congo,SSA,Less Developed,25,31,20,41,19,52,39,21,14,11
CRI,Costa Rica,LAC,Less Developed,9,8,11,11,9,20,10,3,4,9
CIV,Côte d'Ivoire,SSA,Less Developed,56,66,46,70,47,86,62,54,50,44
COD,Democratic Republic of the Congo,SSA,Least Developed,29,33,24,36,21,44,34,29,26,14
DOM,Dominican Republic,LAC,Less Developed,16,14,18,19,14,29,20,13,10,6
EGY,Egypt,MENA,Less Developed,24,27,21,27,18,33,28,23,25,7
SLV,El Salvador,LAC,Less Developed,35,35,35,49,25,61,46,33,20,8
SWZ,Eswatini,SSA,Less Developed,18,24,12,16,22,22,21,15,12,17
ETH,Ethiopia,SSA,Least Developed,54,59,48,58,41,68,67,56,48,43
GAB,Gabon,SSA,Less Developed,18,18,18,31,16,29,23,19,13,10
GMB,Gambia,SSA,Least Developed,50,55,44,63,40,64,59,59,45,29
GEO,Georgia,ECA,Less Developed,11,8,14,13,10,20,7,14,14,4
GHA,Ghana,SSA,Less Developed,25,29,21,26,23,31,26,23,23,20
GTM,Guatemala,LAC,Less Developed,49,54,44,61,33,75,67,53,32,15
GIN,Guinea,SSA,Least Developed,63,73,50,81,40,86,84,73,56,33
GNB,Guinea-Bissau,SSA,Least Developed,32,36,29,35,28,33,36,34,31,27
GUY,Guyana,LAC,Less Developed,33,29,37,35,28,49,42,32,24,15
HTI,Haiti,LAC,Least Developed,15,15,14,18,10,29,16,13,11,5
HND,Honduras,LAC,Less Developed,47,45,49,64,28,71,52,40,34,20
IND,India,SA,Less Developed,23,26,21,26,17,41,29,22,14,6
IDN,Indonesia,EAP,Less Developed,23,21,24,30,17,38,27,20,18,11
IRQ,Iraq,MENA,Less Developed,40,46,35,49,36,62,50,40,33,20
JAM,Jamaica,LAC,Less Developed,9,7,11,11,6,16,10,9,6,1
JOR,Jordan,MENA,Less Developed,20,16,23,20,19,42,27,17,10,6
KAZ,Kazakhstan,ECA,Less Developed,3,2,3,4,1,2,4,2,1,3
KEN,Kenya,SSA,Less Developed,10,11,9,10,12,16,9,7,9,10
KIR,Kiribati,EAP,Least Developed,39,30,46,42,36,53,37,42,41,24
KGZ,Kyrgyzstan,ECA,Less Developed,11,13,10,13,9,20,11,12,10,4
LAO,Lao People's Democratic Republic,EAP,Least Developed,38,42,35,46,19,68,50,38,23,11
LSO,Lesotho,SSA,Least Developed,36,28,43,43,21,59,47,33,28,11
LBR,Liberia,SSA,Least Developed,27,35,20,38,22,50,36,31,26,13
MDG,Madagascar,SSA,Least Developed,66,67,65,72,47,89,84,74,59,32
MWI,Malawi,SSA,Least Developed,29,36,23,31,18,45,38,32,23,17
MDV,Maldives,SA,Less Developed,25,23,27,37,12,42,36,25,12,12
MLI,Mali,SSA,Least Developed,75,80,70,83,53,94,89,84,72,47
MRT,Mauritania,SSA,Least Developed,58,60,56,72,45,82,74,58,52,31
MNG,Mongolia,EAP,Less Developed,11,5,15,19,7,25,7,8,3,8
MNE,Montenegro,ECA,More Developed,8,6,9,12,5,25,5,6,1,1
MOZ,Mozambique,SSA,Least Developed,53,63,43,66,35,76,72,68,51,21
MMR,Myanmar,EAP,Least Developed,52,49,54,58,35,73,60,53,43,24
NAM,Namibia,SSA,Less Developed,34,35,32,35,32,39,43,35,36,18
NPL,Nepal,SA,Least Developed,15,15,15,17,14,20,18,15,12,7
NER,Niger,SSA,Least Developed,86,91,79,95,58,99,97,97,92,62
NGA,Nigeria,SSA,Less Developed,33,34,31,47,14,75,46,24,10,6
MKD,North Macedonia,ECA,More Developed,12,12,13,11,13,29,12,8,3,5
PAK,Pakistan,SA,Less Developed,46,54,38,54,31,75,57,45,31,14
PAN,Panama,LAC,Less Developed,20,17,23,31,14,39,27,20,11,1
PRY,Paraguay,LAC,Less Developed,26,26,26,37,19,38,30,25,19,12
PER,Peru,LAC,Less Developed,16,16,15,21,13,30,17,13,13,4
PHL,Philippines,EAP,Less Developed,9,4,13,10,8,21,10,9,3,2
MDA,Republic of Moldova,ECA,More Developed,25,20,30,32,10,60,38,25,8,5
RWA,Rwanda,SSA,Least Developed,59,59,58,59,56,72,65,61,53,51
LCA,Saint Lucia,LAC,Less Developed,17,14,20,17,20,21,23,27,16,0
STP,Sao Tome and Principe,SSA,Least Developed,21,20,22,27,19,42,31,22,12,8
SEN,Senegal,SSA,Least Developed,55,56,53,69,40,79,62,57,49,33
SRB,Serbia,ECA,More Developed,9,5,12,10,8,23,11,5,7,1
SLE,Sierra Leone,SSA,Least Developed,36,40,31,54,21,66,55,39,26,15
ZAF,South Africa,SSA,Less Developed,16,17,15,15,16,26,14,17,12,7
SSD,South Sudan,SSA,Least Developed,60,68,51,66,44,82,77,68,49,38
LKA,Sri Lanka,SA,Less Developed,19,16,23,19,19,31,21,21,12,8
PSE,State of Palestine,MENA,Less Developed,25,16,34,26,25,34,24,32,23,14
