ISO3,Countries and areas,Region,Development Regions,Total,Female,Male,Rural_Residence,Urban_Residence,Poorest_Wealth quintile,Second_Wealth quintile,Middle_Wealth quintile,Fourth_Wealth quintile,Richest_Wealth quintile
AFG,Afghanistan,SA,Least Developed,58.0,73.0,43.0,63.0,45.0,70.0,64.0,64.0,54.0,40.0
ALB,Albania,ECA,More Developed,12.0,12.0,12.0,16.0,9.0,27.0,11.0,11.0,5.0,5.0
DZA,Algeria,MENA,Less Developed,25.0,23.0,28.0,33.0,21.0,40.0,29.0,24.0,20.0,12.0
AGO,Angola,SSA,Least Developed,29.0,35.0,21.0,53.0,19.0,58.0,50.0,27.0,17.0,9.0
ARM,Armenia,ECA,Less Developed,7.0,4.0,9.0,9.0,5.0,12.0,6.0,10.0,5.0,2.0
BGD,Bangladesh,SA,Least Developed,31.0,26.0,37.0,32.0,30.0,45.0,35.0,29.0,28.0,19.0
BRB,Barbados,LAC,Less Developed,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
BLR,Belarus,ECA,More Developed,1.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,3.0
BLZ,Belize,LAC,Less Developed,33.0,35.0,30.0,38.0,24.0,54.0,43.0,40.0,13.0,7.0
BEN,Benin,SSA,Least Developed,58.0,66.0,50.0,65.0,50.0,82.0,73.0,61.0,48.0,36.0
BTN,Bhutan,SA,Least Developed,39.0,40.0,39.0,44.0,27.0,55.0,53.0,42.0,27.0,24.0
BIH,Bosnia and Herzegovina,ECA,More Developed,7.0,6.0,8.0,7.0,7.0,15.0,8.0,8.0,3.0,3.0
BRA,Brazil,LAC,Less Developed,8.0,7.0,8.0,12.0,7.0,12.0,8.0,7.0,4.0,1.0
BFA,Burkina Faso,SSA,Least Developed,74.0,79.0,69.0,83.0,54.0,90.0,87.0,81.0,74.0,53.0
BDI,Burundi,SSA,Least Developed,54.0,54.0,53.0,55.0,44.0,76.0,65.0,54.0,46.0,39.0
KHM,Cambodia,EAP,Least Developed,60.0,62.0,58.0,65.0,39.0,79.0,74.0,65.0,53.0,35.0
CMR,Cameroon,SSA,Less Developed,42.0,49.0,34.0,55.0,31.0,61.0,63.0,43.0,35.0,17.0
CAF,Central African Republic,SSA,Least Developed,63.0,77.0,43.0,76.0,45.0,84.0,75.0,72.0,54.0,38.0
TCD,Chad,SSA,Least Developed,55.0,69.0,43.0,65.0,30.0,70.0,66.0,64.0,61.0,28.0
COL,Colombia,LAC,Less Developed,16.0,16.0,17.0,26.0,13.0,29.0,21.0,14.0,10.0,5.0
COM,Comoros,SSA,Least Developed,27.0,29.0,25.0,30.0,21.0,45.0,36.0,24.0,20.0,17.0
COG,Congo,SSA,Less Developed,25.0,31.0,20.0,41.0,19.0,52.0,39.0,21.0,14.0,11.0
CRI,Costa Rica,LAC,Less Developed,9.0,8.0,11.0,11.0,9.0,20.0,10.0,3.0,4.0,9.0
CIV,Côte d'Ivoire,SSA,Less Developed,56.0,66.0,46.0,70.0,47.0,86.0,62.0,54.0,50.0,44.0
COD,Democratic Republic of the Congo,SSA,Least Developed,29.0,33.0,24.0,36.0,21.0,44.0,34.0,29.0,26.0,14.0
DOM,Dominican Republic,LAC,Less Developed,16.0,14.0,18.0,19.0,14.0,29.0,20.0,13.0,10.0,6.0
EGY,Egypt,MENA,Less Developed,24.0,27.0,21.0,27.0,18.0,33.0,28.0,23.0,25.0,7.0
SLV,El Salvador,LAC,Less Developed,35.0,35.0,35.0,49.0,25.0,61.0,46.0,33.0,20.0,8.0
SWZ,Eswatini,SSA,Less Developed,18.0,24.0,12.0,16.0,22.0,22.0,21.0,15.0,12.0,17.0
ETH,Ethiopia,SSA,Least Developed,54.0,59.0,48.0,58.0,41.0,68.0,67.0,56.0,48.0,43.0
GAB,Gabon,SSA,Less Developed,18.0,18.0,18.0,31.0,16.0,29.0,23.0,19.0,13.0,10.0
GMB,Gambia,SSA,Least Developed,50.0,55.0,44.0,63.0,40.0,64.0,59.0,59.0,45.0,29.0
GEO,Georgia,ECA,Less Developed,11.0,8.0,14.0,13.0,10.0,20.0,7.0,14.0,14.0,4.0
GHA,Ghana,SSA,Less Developed,25.0,29.0,21.0,26.0,23.0,31.0,26.0,23.0,23.0,20.0
GTM,Guatemala,LAC,Less Developed,49.0,54.0,44.0,61.0,33.0,75.0,67.0,53.0,32.0,15.0
GIN,Guinea,SSA,Least Developed,63.0,73.0,50.0,81.0,40.0,86.0,84.0,73.0,56.0,33.0
GNB,Guinea-Bissau,SSA,Least Developed,32.0,36.0,29.0,35.0,28.0,33.0,36.0,34.0,31.0,27.0
GUY,Guyana,LAC,Less Developed,33.0,29.0,37.0,35.0,28.0,49.0,42.0,32.0,24.0,15.0
HTI,Haiti,LAC,Least Developed,15.0,15.0,14.0,18.0,10.0,29.0,16.0,13.0,11.0,5.0
HND,Honduras,LAC,Less Developed,47.0,45.0,49.0,64.0,28.0,71.0,52.0,40.0,34.0,20.0
IND,India,SA,Less Developed,23.0,26.0,21.0,26.0,17.0,41.0,29.0,22.0,14.0,6.0
IDN,Indonesia,EAP,Less Developed,23.0,21.0,24.0,30.0,17.0,38.0,27.0,20.0,18.0,11.0
IRQ,Iraq,MENA,Less Developed,40.0,46.0,35.0,49.0,36.0,62.0,50.0,40.0,33.0,20.0
JAM,Jamaica,LAC,Less Developed,9.0,7.0,11.0,11.0,6.0,16.0,10.0,9.0,6.0,1.0
JOR,Jordan,MENA,Less Developed,20.0,16.0,23.0,20.0,19.0,42.0,27.0,17.0,10.0,6.0
KAZ,Kazakhstan,ECA,Less Developed,3.0,2.0,3.0,4.0,1.0,2.0,4.0,2.0,1.0,3.0
KEN,Kenya,SSA,Less Developed,10.0,11.0,9.0,10.0,12.0,16.0,9.0,7.0,9.0,10.0
KIR,Kiribati,EAP,Least Developed,39.0,30.0,46.0,42.0,36.0,53.0,37.0,42.0,41.0,24.0
KGZ,Kyrgyzstan,ECA,Less Developed,11.0,13.0,10.0,13.0,9.0,20.0,11.0,12.0,10.0,4.0
LAO,Lao People's Democratic Republic,EAP,Least Developed,38.0,42.0,35.0,46.0,19.0,68.0,50.0,38.0,23.0,11.0
LSO,Lesotho,SSA,Least Developed,36.0,28.0,43.0,43.0,21.0,59.0,47.0,33.0,28.0,11.0
LBR,Liberia,SSA,Least Developed,27.0,35.0,20.0,38.0,22.0,50.0,36.0,31.0,26.0,13.0
MDG,Madagascar,SSA,Least Developed,66.0,67.0,65.0,72.0,47.0,89.0,84.0,74.0,59.0,32.0
MWI,Malawi,SSA,Least Developed,29.0,36.0,23.0,31.0,18.0,45.0,38.0,32.0,23.0,17.0
MDV,Maldives,SA,Less Developed,25.0,23.0,27.0,37.0,12.0,42.0,36.0,25.0,12.0,12.0
MLI,Mali,SSA,Least Developed,75.0,80.0,70.0,83.0,53.0,94.0,89.0,84.0,72.0,47.0
MRT,Mauritania,SSA,Least Developed,58.0,60.0,56.0,72.0,45.0,82.0,74.0,58.0,52.0,31.0
